name,email,date_of_birth,mobile_no,name_clean,failure_reason
Shelly Mcdaniel,Shelly_Mcdaniel@little.com,10/28/1995,8659 9403,Shelly Mcdaniel,invalid_mobile
David Ryan,David_Ryan@williams.com,1975-07-28,59886,David Ryan,invalid_mobile
Tyler Trevino,Tyler_Trevino@greene.info,24-08-2005,99178143,Tyler Trevino,below_18
Christina Jackson,Christina_Jackson@griffith-thomas.net,29-08-2002,18006,Christina Jackson,invalid_mobile
Jodi Peterson,Jodi_Peterson@wall-perry.org,21-12-1999,3840194,Jodi Peterson,invalid_mobile
Melissa Carney,Melissa_Carney@ramirez-leach.com,1975-09-15,297843,Melissa Carney,invalid_mobile
David Cole,David_Cole@montgomery-stafford.com,1969-11-12,37986,David Cole,invalid_mobile
Ricardo Weber,Ricardo_Weber@foster-mayer.com,11/14/1964,1573923,Ricardo Weber,invalid_mobile
Jessica Mckenzie,Jessica_Mckenzie@day.com,08/11/1950,579219,Jessica Mckenzie,invalid_mobile
James Ramirez,James_Ramirez@phillips.com,1998-06-10,455655,James Ramirez,invalid_mobile
Jeffrey Wise,Jeffrey_Wise@baker.org,1987/10/11,5587429,Jeffrey Wise,invalid_mobile
Brandy Fisher,Brandy_Fisher@baird.com,2012/06/30,8728378,Brandy Fisher,invalid_mobile;below_18
Renee Barrera,Renee_Barrera@baxter-anderson.info,10-05-1976,340911,Renee Barrera,invalid_mobile
Alexander Mckee,Alexander_Mckee@lewis.com,2010-10-29,47776,Alexander Mckee,invalid_mobile;below_18
Sheryl Hill,Sheryl_Hill@johnson.net,1962/08/31,79331,Sheryl Hill,invalid_mobile
Sandra White,Sandra_White@williams.com,1953/05/13,77216,Sandra White,invalid_mobile
Christopher Thompson,Christopher_Thompson@peterson.biz,1994-08-02,383049,Christopher Thompson,invalid_mobile
Theresa Johnson,Theresa_Johnson@chapman-quinn.com,08/12/2010,6735 3751,Theresa Johnson,invalid_mobile;below_18
Kristopher Cunningham,Kristopher_Cunningham@cunningham.org,1974/09/08,5811499,Kristopher Cunningham,invalid_mobile
Nathan Morgan,Nathan_Morgan@larson.com,2013-12-24,98173775,Nathan Morgan,below_18
David Murray,David_Murray@mclaughlin.com,1994-12-09,95171,David Murray,invalid_mobile
Daniel Herrera,Daniel_Herrera@carter.com,2001/02/27,83606,Daniel Herrera,invalid_mobile
John Mcpherson,John_Mcpherson@jensen.com,08/16/1968,218979,John Mcpherson,invalid_mobile
Scott Simmons,Scott_Simmons@ritter-goodwin.info,1983/11/18,97746,Scott Simmons,invalid_mobile
Gary Tran,Gary_Tran@henry.net,06/27/1979,184149,Gary Tran,invalid_mobile
Erica Vaughn,Erica_Vaughn@erickson-evans.org,11/13/1958,8347 2491,Erica Vaughn,invalid_mobile
Jennifer Peterson,Jennifer_Peterson@chung.info,1957-12-19,14746,Jennifer Peterson,invalid_mobile
April Mccormick,April_Mccormick@douglas.com,08/15/1963,1458325,April Mccormick,invalid_mobile
Justin Davis,Justin_Davis@perry.biz,1992-04-13,6929798,Justin Davis,invalid_mobile
Julia Hall,Julia_Hall@cisneros.com,1991/07/17,12391,Julia Hall,invalid_mobile
Anna Cunningham,Anna_Cunningham@willis.org,09/12/1986,80726,Anna Cunningham,invalid_mobile
Jacob Stevens,Jacob_Stevens@holland.com,2006-10-22,27840591,Jacob Stevens,below_18
Jerry Payne,Jerry_Payne@burgess.com,1988/09/02,46946,Jerry Payne,invalid_mobile
Mark Collins,Mark_Collins@sullivan.biz,03/09/1977,9028797,Mark Collins,invalid_mobile
Benjamin Clark,Benjamin_Clark@cooper-ortega.com,1997/10/08,5598447,Benjamin Clark,invalid_mobile
Lisa Norton,Lisa_Norton@huffman.com,1973/12/21,707067,Lisa Norton,invalid_mobile
Christopher Smith,Christopher_Smith@lamb.com,07/07/1981,4259 4715,Christopher Smith,invalid_mobile
Mary Myers,Mary_Myers@perez-tanner.com,1968-07-15,9706656,Mary Myers,invalid_mobile
Stephanie Skinner,Stephanie_Skinner@bailey-reyes.com,1999/08/20,87466,Stephanie Skinner,invalid_mobile
Dave Kelly,Dave_Kelly@oneal-jones.net,26-06-1973,8204323,Dave Kelly,invalid_mobile
Patricia Gallagher,Patricia_Gallagher@lawrence.org,2018/03/02,68350383,Patricia Gallagher,below_18
Shaun Holloway,Shaun_Holloway@steele.com,1987/06/23,601695,Shaun Holloway,invalid_mobile
Marc Love,Marc_Love@martin.com,07/22/1955,9679 6419,Marc Love,invalid_mobile
Michael Mayer,Michael_Mayer@davis.net,04/14/1971,2025990,Michael Mayer,invalid_mobile
Mason Rodriguez,Mason_Rodriguez@morris.com,10/23/2005,53041,Mason Rodriguez,invalid_mobile;below_18
Jason Payne,Jason_Payne@bell.net,1997/04/30,18901,Jason Payne,invalid_mobile
Johnny Hicks,Johnny_Hicks@galvan.biz,02/17/2005,9824893,Johnny Hicks,invalid_mobile;below_18
Lisa Rodgers,Lisa_Rodgers@jenkins.com,1956-01-25,3937403,Lisa Rodgers,invalid_mobile
Sarah Tyler,Sarah_Tyler@sloan.com,01-08-1981,98166,Sarah Tyler,invalid_mobile
Brian Rodriguez,Brian_Rodriguez@lawrence-johnson.biz,1982-12-21,6485942,Brian Rodriguez,invalid_mobile
Charlene Jones,Charlene_Jones@fox.com,2008-05-22,321531,Charlene Jones,invalid_mobile;below_18
Carol Patrick,Carol_Patrick@noble.info,12/30/1959,1354473,Carol Patrick,invalid_mobile
Mrs. Jessica Gibson DDS,Jessica_Gibson@wall.com,1996-08-24,3945845,Jessica Gibson,invalid_mobile
Linda Sullivan,Linda_Sullivan@clayton.org,12/19/1991,4560718,Linda Sullivan,invalid_mobile
Donna Carrillo,Donna_Carrillo@rush.org,2008-01-19,76211239,Donna Carrillo,below_18
Scott Baker,Scott_Baker@frey.com,1995/11/11,99946,Scott Baker,invalid_mobile
Brian Jensen,Brian_Jensen@berger.com,14-07-1960,98736,Brian Jensen,invalid_mobile
Veronica Zavala,Veronica_Zavala@wilson.org,27-02-2009,58144359,Veronica Zavala,below_18
Jenny Fields,Jenny_Fields@ward.com,1991/02/06,946185,Jenny Fields,invalid_mobile
George Monroe,George_Monroe@guzman.biz,09/15/1990,916341,George Monroe,invalid_mobile
Michael Smith,Michael_Smith@allen.info,07/10/1981,3928149,Michael Smith,invalid_mobile
Kevin Oliver,Kevin_Oliver@duffy-holland.biz,2001/10/26,23056,Kevin Oliver,invalid_mobile
Nicholas Mejia,Nicholas_Mejia@gibson.com,22-03-1956,63151,Nicholas Mejia,invalid_mobile
Phillip Logan,Phillip_Logan@campbell-norris.com,11/08/1985,59586,Phillip Logan,invalid_mobile
Thomas Alvarez,Thomas_Alvarez@cole-mitchell.com,1994/02/16,251115,Thomas Alvarez,invalid_mobile
Kaitlin Lawson,Kaitlin_Lawson@rodriguez-green.com,2001/09/04,36701,Kaitlin Lawson,invalid_mobile
Carlos Wagner,Carlos_Wagner@taylor.info,2011/06/18,159465,Carlos Wagner,invalid_mobile;below_18
Christopher Anderson,Christopher_Anderson@howell.biz,1981-06-11,21311,Christopher Anderson,invalid_mobile
Julie Oneal,Julie_Oneal@blair.biz,03-05-1975,833781,Julie Oneal,invalid_mobile
Megan Friedman,Megan_Friedman@garcia.com,1973-05-04,76256,Megan Friedman,invalid_mobile
Cheryl Taylor,Cheryl_Taylor@willis.com,1971-01-25,732711,Cheryl Taylor,invalid_mobile
Eric Richards,Eric_Richards@reeves.net,1950/02/10,93011,Eric Richards,invalid_mobile
Rebecca Mitchell,Rebecca_Mitchell@bullock.org,2011-05-12,17774807,Rebecca Mitchell,below_18
Anna Patrick,Anna_Patrick@vance.com,10-12-1963,94576,Anna Patrick,invalid_mobile
Eric Schmidt,Eric_Schmidt@roberson.com,25-04-1966,21721,Eric Schmidt,invalid_mobile
Mark Campbell,Mark_Campbell@brown.com,2004-07-05,61242343,Mark Campbell,below_18
Taylor Oconnell,Taylor_Oconnell@campbell.com,1952-05-08,469089,Taylor Oconnell,invalid_mobile
Debra Peters,Debra_Peters@smith.com,08/04/1982,6911 5179,Debra Peters,invalid_mobile
William Russell,William_Russell@evans.com,06/01/1969,176085,William Russell,invalid_mobile
Ryan Mcdaniel,Ryan_Mcdaniel@white.com,1987-08-04,49071,Ryan Mcdaniel,invalid_mobile
Jacqueline Frazier,Jacqueline_Frazier@pollard.info,03/06/2005,7887 7139,Jacqueline Frazier,invalid_mobile;below_18
Steven Stuart,Steven_Stuart@murray-todd.org,1990-01-21,836013,Steven Stuart,invalid_mobile
Emily Rodriguez,Emily_Rodriguez@allen-richards.com,1985/06/11,6593581,Emily Rodriguez,invalid_mobile
Ryan Perez,Ryan_Perez@taylor.com,31-05-1955,27721,Ryan Perez,invalid_mobile
Megan Lopez,Megan_Lopez@williams-gonzales.com,1953/07/02,184833,Megan Lopez,invalid_mobile
Joseph Perez,Joseph_Perez@ryan.com,09/09/1974,6187 6187,Joseph Perez,invalid_mobile
Kimberly Wright,Kimberly_Wright@tran.com,2013-02-12,22291,Kimberly Wright,invalid_mobile;below_18
Donald Braun,Donald_Braun@madden.com,04/16/2004,4348877,Donald Braun,invalid_mobile;below_18
Savannah Reese,Savannah_Reese@townsend-rios.com,07/23/2018,4211 2635,Savannah Reese,invalid_mobile;below_18
Leslie Wiggins,Leslie_Wiggins@reese-camacho.com,21-09-2014,95381,Leslie Wiggins,invalid_mobile;below_18
Mrs. Deanna Gonzalez,Deanna_Gonzalez@murray.com,1965-06-25,38166,Deanna Gonzalez,invalid_mobile
Derrick Brown PhD,Derrick_Brown@rodriguez.info,18-08-1978,46266,Derrick Brown,invalid_mobile
Meghan Davis,Meghan_Davis@ward.com,2009/02/22,73453023,Meghan Davis,below_18
Stephanie Morgan,Stephanie_Morgan@howard.com,12/31/1988,137259,Stephanie Morgan,invalid_mobile
Caleb Singh,Caleb_Singh@campbell-allen.com,24-02-1974,384849,Caleb Singh,invalid_mobile
Cassandra Andrade,Cassandra_Andrade@becker-clark.com,1980-09-15,693843,Cassandra Andrade,invalid_mobile
Robert Hall,Robert_Hall@osborn.com,1972-05-09,86501,Robert Hall,invalid_mobile
Kenneth Hill,Kenneth_Hill@allen-brown.com,01/28/2002,6015920,Kenneth Hill,invalid_mobile
David Brown,David_Brown@patton-garcia.com,11/28/2011,17471,David Brown,invalid_mobile;below_18
Stephen Meyers,Stephen_Meyers@welch.com,05/17/1951,8823130,Stephen Meyers,invalid_mobile
Victor Becker,Victor_Becker@williams-little.info,1969/05/29,6671232,Victor Becker,invalid_mobile
Thomas Sanchez,Thomas_Sanchez@cunningham-reid.net,09/14/1957,2399 4083,Thomas Sanchez,invalid_mobile
Michael Chapman,Michael_Chapman@bennett-tucker.org,1958/10/05,407643,Michael Chapman,invalid_mobile
Stephen Lam,Stephen_Lam@estrada-young.com,1952/01/09,3454340,Stephen Lam,invalid_mobile
Theresa Wells,Theresa_Wells@smith.biz,2004/01/17,5855179,Theresa Wells,invalid_mobile;below_18
Richard Barrera,Richard_Barrera@jackson.com,1950-12-16,3993270,Richard Barrera,invalid_mobile
Kelly Boyle,Kelly_Boyle@hayes.com,1995-07-17,363399,Kelly Boyle,invalid_mobile
James Hicks,James_Hicks@mendoza.com,07/04/1981,7759690,James Hicks,invalid_mobile
Todd Simon PhD,Todd_Simon@lopez.com,01/06/1998,6364541,Todd Simon,invalid_mobile
Jason Meyer,Jason_Meyer@murphy-mitchell.org,2018/06/08,980619,Jason Meyer,invalid_mobile;below_18
Lindsay Rivera,Lindsay_Rivera@smith.com,05/22/2001,70331,Lindsay Rivera,invalid_mobile
Michael Peterson,Michael_Peterson@johnson.com,02/17/1996,58731,Michael Peterson,invalid_mobile
Jennifer Martin PhD,Jennifer_Martin@mack.com,2010/01/06,41092831,Jennifer Martin,below_18
Martin Solomon,Martin_Solomon@graves.net,07/20/1983,4963442,Martin Solomon,invalid_mobile
Rebecca Quinn,Rebecca_Quinn@moore-crawford.info,1960-11-27,22971,Rebecca Quinn,invalid_mobile
Leslie Ruiz,Leslie_Ruiz@liu.com,12-07-1966,34336,Leslie Ruiz,invalid_mobile
Rebecca Wright,Rebecca_Wright@walker.com,2013-09-14,834999,Rebecca Wright,invalid_mobile;below_18
Jacqueline Phillips,Jacqueline_Phillips@larson.com,01/18/1988,5579 3915,Jacqueline Phillips,invalid_mobile
Wesley Erickson,Wesley_Erickson@reyes.com,1978/06/08,32576,Wesley Erickson,invalid_mobile
Janet West,Janet_West@chung-anderson.com,2001-01-24,687465,Janet West,invalid_mobile
James Barnett,James_Barnett@evans-gonzalez.com,11/20/2016,573813,James Barnett,invalid_mobile;below_18
Eric Scott,Eric_Scott@mccormick.com,22-05-2001,9183959,Eric Scott,invalid_mobile
James Jones,James_Jones@bell.biz,04-04-1987,8285565,James Jones,invalid_mobile
Joshua Baker DVM,Joshua_Baker@bradley.info,1966-02-05,614895,Joshua Baker,invalid_mobile
Kathleen Baker,Kathleen_Baker@evans.com,1970/08/03,129849,Kathleen Baker,invalid_mobile
Michael Clark,Michael_Clark@rojas.info,10-09-2016,91346,Michael Clark,invalid_mobile;below_18
Renee Williams,Renee_Williams@smith.com,30-01-2013,505671,Renee Williams,invalid_mobile;below_18
Robert White,Robert_White@schwartz.com,02/03/1990,6559120,Robert White,invalid_mobile
Teresa Figueroa,Teresa_Figueroa@love.info,1950/11/19,32271,Teresa Figueroa,invalid_mobile
Ashley Murphy,Ashley_Murphy@hart-alvarado.com,31-12-1952,254127,Ashley Murphy,invalid_mobile
Laura Peterson,Laura_Peterson@morton.com,1965/04/22,5968411,Laura Peterson,invalid_mobile
Brian Cardenas,Brian_Cardenas@allen.com,04-03-2000,2338540,Brian Cardenas,invalid_mobile
Dana Conrad,Dana_Conrad@french-maxwell.com,21-12-1971,325467,Dana Conrad,invalid_mobile
Kathleen Deleon,Kathleen_Deleon@cervantes-spears.org,1974/01/20,58746,Kathleen Deleon,invalid_mobile
Ebony Garcia,Ebony_Garcia@williams.net,11-01-1968,7406281,Ebony Garcia,invalid_mobile
Johnathan Allen,Johnathan_Allen@young.com,09/01/2000,551829,Johnathan Allen,invalid_mobile
Laura Faulkner,Laura_Faulkner@underwood.org,06/11/2003,25621,Laura Faulkner,invalid_mobile
Kirk Pearson,Kirk_Pearson@mason.net,1961/11/14,790413,Kirk Pearson,invalid_mobile
Christina Moore,Christina_Moore@harvey.com,05/24/1955,89156,Christina Moore,invalid_mobile
Laura Diaz,Laura_Diaz@wall-cross.com,1962/03/29,5299925,Laura Diaz,invalid_mobile
Jerry Stuart,Jerry_Stuart@king.com,2018/05/25,6111134,Jerry Stuart,invalid_mobile;below_18
Brianna Griffith,Brianna_Griffith@hughes.com,1951-10-30,7867399,Brianna Griffith,invalid_mobile
Kenneth Lopez,Kenneth_Lopez@hess.biz,1997-01-26,5647867,Kenneth Lopez,invalid_mobile
Wesley Krause,Wesley_Krause@sharp.com,22-02-2003,32951,Wesley Krause,invalid_mobile
Derek Sullivan,Derek_Sullivan@weeks.org,18-01-1977,73526,Derek Sullivan,invalid_mobile
Miss Monica Mcdonald,Monica_Mcdonald@massey.com,1972-06-14,5015753,Monica Mcdonald,invalid_mobile
Brianna Ramirez,Brianna_Ramirez@jones-stone.com,2018/05/21,64836,Brianna Ramirez,invalid_mobile;below_18
Robert Decker,Robert_Decker@travis.com,1979/10/21,8688688,Robert Decker,invalid_mobile
Michael Bryant,Michael_Bryant@harris.net,26-12-1993,1333389,Michael Bryant,invalid_mobile
Jamie Silva,Jamie_Silva@shepard.com,11/28/1983,824487,Jamie Silva,invalid_mobile
Steven Jones,Steven_Jones@pearson-phelps.com,27-12-1964,544023,Steven Jones,invalid_mobile
Elizabeth Stein,Elizabeth_Stein@zimmerman-hurley.com,1977/01/25,785703,Elizabeth Stein,invalid_mobile
Brandi Werner,Brandi_Werner@cooper.info,2012-07-08,447507,Brandi Werner,invalid_mobile;below_18
Derrick Jones,Derrick_Jones@montgomery-green.net,1998/03/16,3524116,Derrick Jones,invalid_mobile
Michelle Price,Michelle_Price@wu.com,2008/11/06,649425,Michelle Price,invalid_mobile;below_18
Kara Silva,Kara_Silva@wood.com,18-10-1996,908781,Kara Silva,invalid_mobile
Lisa Cox,Lisa_Cox@turner-miller.com,02/22/1984,4848390,Lisa Cox,invalid_mobile
Jonathan Armstrong,Jonathan_Armstrong@flores.com,02/06/1993,99926,Jonathan Armstrong,invalid_mobile
Amber Payne,Amber_Payne@winters.com,1972/08/12,1431816,Amber Payne,invalid_mobile
Patricia Moore,Patricia_Moore@moyer-campbell.com,05/12/2008,4391 4515,Patricia Moore,invalid_mobile;below_18
Susan Colon,Susan_Colon@harris.info,2000/11/22,3040143,Susan Colon,invalid_mobile
Ryan Morgan,Ryan_Morgan@gibson.org,1955/08/03,3472855,Ryan Morgan,invalid_mobile
Chad Willis,Chad_Willis@thomas.net,22-06-1970,22391,Chad Willis,invalid_mobile
Stephanie Jones,Stephanie_Jones@clark-morris.info,2018-12-10,8382501,Stephanie Jones,invalid_mobile;below_18
Jeffrey Garcia,Jeffrey_Garcia@gomez-walters.com,1967/11/14,85236,Jeffrey Garcia,invalid_mobile
Erik Walker,Erik_Walker@dunn-neal.info,2008/12/09,564231,Erik Walker,invalid_mobile;below_18
Steven Murray,Steven_Murray@maynard.com,03/20/1993,437001,Steven Murray,invalid_mobile
Samuel Simmons,Samuel_Simmons@summers-young.com,04/07/1992,75286,Samuel Simmons,invalid_mobile
Barbara Brown,Barbara_Brown@hood.info,29-06-1961,1880264,Barbara Brown,invalid_mobile
Jacob Yang,Jacob_Yang@knapp.com,02/28/2001,74321,Jacob Yang,invalid_mobile
Jennifer Roberts,Jennifer_Roberts@ball.com,29-11-1959,62701,Jennifer Roberts,invalid_mobile
Ashley Schultz,Ashley_Schultz@long-obrien.com,11/12/1959,1591997,Ashley Schultz,invalid_mobile
Elizabeth Swanson,Elizabeth_Swanson@garcia-roberts.com,1951/12/12,31256,Elizabeth Swanson,invalid_mobile
Jonathan Lawrence MD,Jonathan_Lawrence@reed.com,1954/05/06,608139,Jonathan Lawrence,invalid_mobile
Linda Rodriguez,Linda_Rodriguez@rice.net,1977/03/06,92661,Linda Rodriguez,invalid_mobile
Molly Tate,Molly_Tate@johnson.info,15-09-1992,4464699,Molly Tate,invalid_mobile
Patrick Mosley,Patrick_Mosley@adams.org,03/16/2014,18381,Patrick Mosley,invalid_mobile;below_18
Anita Nelson,Anita_Nelson@price.com,09/07/1963,810447,Anita Nelson,invalid_mobile
Susan Harris,Susan_Harris@martinez.com,1975/01/25,348609,Susan Harris,invalid_mobile
John Conrad,John_Conrad@hahn-newman.com,11/28/2002,980463,John Conrad,invalid_mobile
Timothy Allen,Timothy_Allen@williams-graham.com,09-11-2014,3909676,Timothy Allen,invalid_mobile;below_18
Susan Hansen,Susan_Hansen@ruiz.com,12/19/1974,805785,Susan Hansen,invalid_mobile
Linda Woods,Linda_Woods@nelson.biz,12/16/2002,5367 5487,Linda Woods,invalid_mobile
Linda White,Linda_White@owens-garcia.com,2003/10/29,957831,Linda White,invalid_mobile
Mrs. Lisa Richardson MD,Lisa_Richardson@guerrero-rivas.com,09-10-1975,280467,Lisa Richardson,invalid_mobile
Jennifer Dixon,Jennifer_Dixon@may.com,08-03-1988,112833,Jennifer Dixon,invalid_mobile
Daniel James,Daniel_James@smith.biz,1951/06/28,995577,Daniel James,invalid_mobile
Kyle Chaney,Kyle_Chaney@martin-gibson.biz,1985/02/20,7887356,Kyle Chaney,invalid_mobile
Allison Jones,Allison_Jones@jacobs-coleman.org,11/25/1983,371925,Allison Jones,invalid_mobile
Cameron Burton,Cameron_Burton@hubbard-gonzalez.com,08/24/1954,29171,Cameron Burton,invalid_mobile
Joe Cook,Joe_Cook@cline-perkins.com,1986/03/26,12356,Joe Cook,invalid_mobile
Robert Miller,Robert_Miller@graham.com,1956-10-01,69471,Robert Miller,invalid_mobile
Olivia Martin,Olivia_Martin@carey.com,1977/07/31,32286,Olivia Martin,invalid_mobile
Manuel Long,Manuel_Long@thomas.biz,2010-10-02,38196223,Manuel Long,below_18
Richard Villanueva,Richard_Villanueva@macias.com,1961-10-21,9364468,Richard Villanueva,invalid_mobile
Taylor Jones,Taylor_Jones@mendez.biz,23-12-2005,99236655,Taylor Jones,below_18
Catherine Simmons,Catherine_Simmons@flores.com,2015-09-23,26756,Catherine Simmons,invalid_mobile;below_18
Samantha Miranda,Samantha_Miranda@carter.com,12/31/2000,5738461,Samantha Miranda,invalid_mobile
Sarah Brown,Sarah_Brown@johnson.info,27-06-1974,1409584,Sarah Brown,invalid_mobile
Briana Morris,Briana_Morris@alvarado.com,08/05/2018,2591 8567,Briana Morris,invalid_mobile;below_18
Michelle Schneider,Michelle_Schneider@shelton.com,2002/02/07,99886,Michelle Schneider,invalid_mobile
Rebekah Gonzalez,Rebekah_Gonzalez@gutierrez.com,1987/05/16,28391,Rebekah Gonzalez,invalid_mobile
Cameron Gay,Cameron_Gay@lee.net,1999/05/21,3454564,Cameron Gay,invalid_mobile
Jose Martinez,Jose_Martinez@garza.com,21-04-1962,4988474,Jose Martinez,invalid_mobile
Gabrielle Todd,Gabrielle_Todd@lane-browning.com,1973/08/24,36681,Gabrielle Todd,invalid_mobile
James Daniels,James_Daniels@williamson.info,09/10/2004,4503 3767,James Daniels,invalid_mobile;below_18
Henry Huffman,Henry_Huffman@khan.info,1995-10-18,8911358,Henry Huffman,invalid_mobile
Beth Murphy,Beth_Murphy@sweeney.com,16-10-2003,68616,Beth Murphy,invalid_mobile
Kevin Haynes,Kevin_Haynes@jones.com,06/24/1969,7543 3787,Kevin Haynes,invalid_mobile
Darryl Deleon,Darryl_Deleon@lewis.com,03-03-2017,521997,Darryl Deleon,invalid_mobile;below_18
Jeffrey Wells,Jeffrey_Wells@serrano.com,11/12/1959,8764288,Jeffrey Wells,invalid_mobile
John Hicks,John_Hicks@weber.com,09/12/1953,9539 5487,John Hicks,invalid_mobile
Pamela Stanley,Pamela_Stanley@thomas.com,1956/01/27,1794500,Pamela Stanley,invalid_mobile
Frank Gardner,Frank_Gardner@barrett.com,1955-09-05,90991,Frank Gardner,invalid_mobile
Eric Kennedy,Eric_Kennedy@mcdonald.com,05/22/1999,7799 4331,Eric Kennedy,invalid_mobile
Michael Buchanan,Michael_Buchanan@hogan-carter.org,1956/08/14,27551,Michael Buchanan,invalid_mobile
Joseph Alvarado,Joseph_Alvarado@thompson-williams.com,2000/06/24,4586149,Joseph Alvarado,invalid_mobile
Dawn Ross,Dawn_Ross@newman.com,12-02-1999,49306,Dawn Ross,invalid_mobile
Christina Hammond,Christina_Hammond@yang-owens.com,12/06/2003,531663,Christina Hammond,invalid_mobile
Adrian Richmond,Adrian_Richmond@martin.com,1958/12/09,67931,Adrian Richmond,invalid_mobile
Elizabeth Gardner,Elizabeth_Gardner@harris.com,08/05/1950,5103211,Elizabeth Gardner,invalid_mobile
Janet Gross,Janet_Gross@chaney.net,04/14/2017,86976,Janet Gross,invalid_mobile;below_18
Samuel Davis,Samuel_Davis@chavez.com,2000/07/15,833349,Samuel Davis,invalid_mobile
James Garcia,James_Garcia@johnson.com,2014-04-09,729369,James Garcia,invalid_mobile;below_18
Carolyn Glover,Carolyn_Glover@walker.com,07/14/1979,8783 2791,Carolyn Glover,invalid_mobile
Jonathan Singleton,Jonathan_Singleton@baker.com,1993-01-16,55871,Jonathan Singleton,invalid_mobile
Jennifer Rodriguez MD,Jennifer_Rodriguez@cruz.com,2004-04-02,734733,Jennifer Rodriguez,invalid_mobile;below_18
Kelly Rodriguez,Kelly_Rodriguez@abbott.com,03/26/1963,25201,Kelly Rodriguez,invalid_mobile
Michael Fisher,Michael_Fisher@turner-arias.com,1994-12-31,900663,Michael Fisher,invalid_mobile
Lorraine Shaw,Lorraine_Shaw@rodriguez-dunn.com,27-03-1954,7727427,Lorraine Shaw,invalid_mobile
Steven White,Steven_White@lozano.info,1955/12/09,31766,Steven White,invalid_mobile
Joy Long,Joy_Long@martin.info,28-08-2007,45751,Joy Long,invalid_mobile;below_18
Brandon Riggs,Brandon_Riggs@horn-welch.com,1960/01/02,526221,Brandon Riggs,invalid_mobile
Raymond Henderson,Raymond_Henderson@ferrell.net,1951/11/28,81831,Raymond Henderson,invalid_mobile
Kenneth Wright,Kenneth_Wright@perez.biz,11/05/2003,2487731,Kenneth Wright,invalid_mobile
Katelyn Sloan,Katelyn_Sloan@yates.org,22-01-2014,4264149,Katelyn Sloan,invalid_mobile;below_18
Jonathan Robinson,Jonathan_Robinson@dillon.com,2011-04-07,4476928,Jonathan Robinson,invalid_mobile;below_18
Gina Morales,Gina_Morales@scott-shaw.info,03/28/1963,6581177,Gina Morales,invalid_mobile
Rachel Martinez,Rachel_Martinez@davis.com,25-07-2014,70671,Rachel Martinez,invalid_mobile;below_18
Dillon Baker,Dillon_Baker@hicks.org,01/26/1996,9393028,Dillon Baker,invalid_mobile
Steven Lane,Steven_Lane@cohen.org,18-07-1991,98126,Steven Lane,invalid_mobile
Sandra Cook,Sandra_Cook@deleon-cook.com,1970/12/27,52186,Sandra Cook,invalid_mobile
Heather Cardenas,Heather_Cardenas@sullivan-holloway.com,10/01/2000,50941,Heather Cardenas,invalid_mobile
Kyle Robinson,Kyle_Robinson@contreras.net,1968-01-24,35876,Kyle Robinson,invalid_mobile
James Rodriguez,James_Rodriguez@moody.net,28-12-2014,5179476,James Rodriguez,invalid_mobile;below_18
John Robertson,John_Robertson@johnson.info,22-10-1960,509475,John Robertson,invalid_mobile
Melissa Smith,Melissa_Smith@howard.org,2012-03-31,37000679,Melissa Smith,below_18
Sarah Oneal,Sarah_Oneal@ward-coleman.com,2010-02-20,7779913,Sarah Oneal,invalid_mobile;below_18
Austin Mcdowell,Austin_Mcdowell@jones-bowers.com,28-08-1993,37201,Austin Mcdowell,invalid_mobile
Marie Taylor,Marie_Taylor@wilson.org,2008-11-06,64264495,Marie Taylor,below_18
Teresa Garrett,Teresa_Garrett@smith-stout.org,2013-02-20,3484944,Teresa Garrett,invalid_mobile;below_18
Sara Lopez,Sara_Lopez@scott-gonzalez.net,2016-07-17,20671,Sara Lopez,invalid_mobile;below_18
Jennifer Ortiz,Jennifer_Ortiz@fisher-brady.biz,04-01-2009,13841,Jennifer Ortiz,invalid_mobile;below_18
Amanda Davis,Amanda_Davis@lopez-mitchell.com,1957/07/14,766509,Amanda Davis,invalid_mobile
Wayne Reeves,Wayne_Reeves@sanchez-morris.biz,09/05/2012,615045,Wayne Reeves,invalid_mobile;below_18
James Sullivan,James_Sullivan@patton.com,16-06-1966,38476,James Sullivan,invalid_mobile
John Hernandez,John_Hernandez@rodriguez-ellis.com,09-10-2012,701445,John Hernandez,invalid_mobile;below_18
Tiffany Barnett,Tiffany_Barnett@lewis.biz,2006/05/11,11136,Tiffany Barnett,invalid_mobile;below_18
Jessica Watts,Jessica_Watts@cline.com,2013-07-20,1475125,Jessica Watts,invalid_mobile;below_18
Miss Katherine Brennan MD,Katherine_Brennan@garcia.net,11/13/1977,3791 8255,Katherine Brennan,invalid_mobile
Patricia Davis,Patricia_Davis@brown.net,17-03-1989,89586,Patricia Davis,invalid_mobile
Ricardo Davies,Ricardo_Davies@lawrence.com,11-07-2016,79786,Ricardo Davies,invalid_mobile;below_18
Matthew Lawson,Matthew_Lawson@collier.org,2005/01/08,76736911,Matthew Lawson,below_18
Jack Lin,Jack_Lin@buckley-smith.net,2005/02/04,2187851,Jack Lin,invalid_mobile;below_18
Michelle Jacobs,Michelle_Jacobs@day.org,2018/12/04,75251,Michelle Jacobs,invalid_mobile;below_18
Christine Lara,Christine_Lara@barnes-lee.com,01/03/1959,7771 6475,Christine Lara,invalid_mobile
Lindsey Owens,Lindsey_Owens@wilson.net,08-12-2009,180645,Lindsey Owens,invalid_mobile;below_18
